seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
14173,5,50,3,0.6,16,96,62500,0.806,31,16,XRAI_0.10,0,0,sum,0.8
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,sum,0.9
10214,2,25,3,0.6,20,25,2500,0.8,9,4,XRAI_0.10,1,1,sum,0.75
230,2,25,1,0.3,2,1,2500,0.12,4,4,XRAI_0.10,0,0,sum,0.1
10214,2,25,3,0.6,20,25,2500,0.8,9,4,XRAI_0.10,1,1,sum,0.8
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,sum,0.95
230,2,25,1,0.3,2,4,2500,0.32,5,4,XRAI_0.10,0,0,sum,0.25
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,sum,1
140,2,15,1,0.3,2,6,900,0.6,2,1,XRAI_0.10,1,1,sum,0.5
4319,2,50,1,1,9,64,10000,0.96,45,24,XRAI_0.10,0,0,sum,0.95
63,2,10,1,0.3,1,23,400,1,3,0,XRAI_0.10,1,1,sum,0.95
1764,10,15,1,0.3,4,96,22500,0.900741,4,1,XRAI_0.10,1,1,sum,0.9
140,2,15,1,0.3,2,7,900,0.666667,3,1,XRAI_0.10,1,1,sum,0.65
63,2,10,1,0.3,1,23,400,1,3,0,XRAI_0.10,1,1,sum,1
11197,2,15,5,0.3,27,4,900,0.266667,0,0,XRAI_0.10,0,0,sum,0.1
10214,2,25,3,0.6,20,33,2500,0.88,10,4,XRAI_0.10,1,1,sum,0.85
161,2,5,1,0.3,5,0,100,0,0,0,XRAI_0.10,1,1,sum,0
357,5,10,1,0.3,3,58,2500,0.95,1,0,XRAI_0.10,1,1,sum,0.95
230,2,25,1,0.3,2,5,2500,0.48,5,4,XRAI_0.10,0,0,sum,0.4
10214,2,25,3,0.6,20,34,2500,0.92,10,4,XRAI_0.10,1,1,sum,0.9
161,2,5,1,0.3,5,1,100,0.4,0,0,XRAI_0.10,1,1,sum,0.1
4319,2,50,1,1,9,78,10000,1,46,24,XRAI_0.10,0,0,sum,1
95,2,10,1,0.3,2,0,400,0,0,0,XRAI_0.10,1,1,sum,0
140,2,15,1,0.3,2,10,900,0.8,4,1,XRAI_0.10,1,1,sum,0.75
11197,2,15,5,0.3,27,4,900,0.266667,0,0,XRAI_0.10,0,0,sum,0.25
140,2,15,1,0.3,2,10,900,0.8,4,1,XRAI_0.10,1,1,sum,0.8
95,2,10,1,0.3,2,1,400,0.3,0,0,XRAI_0.10,1,1,sum,0.1
140,2,15,1,0.3,2,11,900,0.866667,4,1,XRAI_0.10,1,1,sum,0.85
95,2,10,1,0.3,2,1,400,0.3,0,0,XRAI_0.10,1,1,sum,0.25
140,2,15,1,0.3,2,13,900,0.933333,4,1,XRAI_0.10,1,1,sum,0.9
5271,2,50,1,1,10,0,10000,0,24,24,XRAI_0.10,0,0,sum,0
95,2,10,1,0.3,2,2,400,0.5,0,0,XRAI_0.10,1,1,sum,0.4
11197,2,15,5,0.3,27,6,900,0.466667,0,0,XRAI_0.10,0,0,sum,0.4
5271,2,50,1,1,10,2,10000,0.12,24,24,XRAI_0.10,0,0,sum,0.1
140,2,15,1,0.3,2,39,900,1,5,1,XRAI_0.10,1,1,sum,0.95
